Awake duration (min),Sleep need (min)
36.0,517.0
130.0,561.0
42.0,588.0
33.0,580.0
57.0,528.0
59.0,238.0
10.0,560.0
33.0,589.0
47.0,585.0
57.0,584.0
27.0,585.0
50.0,584.0
22.0,584.0
42.0,572.0
66.0,608.0
25.0,584.0
64.0,595.0
24.0,584.0
50.0,586.0
53.0,584.0
10.0,571.0
69.0,568.0
20.0,568.0
36.0,569.0
26.0,538.0
66.0,587.0
25.0,585.0
94.0,571.0
60.0,584.0
48.0,586.0
45.0,586.0
71.0,586.0
27.0,554.0
64.0,561.0
33.0,543.0
54.0,550.0
82.0,553.0
33.0,564.0
24.0,520.0
68.0,541.0
57.0,560.0
25.0,565.0
36.0,540.0
42.0,540.0
47.0,502.0
44.0,584.0
45.0,570.0
45.0,577.0
31.0,559.0
33.0,565.0
42.0,566.0
36.0,502.0
24.0,535.0
54.0,521.0
76.0,554.0
41.0,585.0
44.0,585.0
41.0,587.0
62.0,578.0
24.0,588.0
41.0,585.0
37.0,492.0
